index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
54,1.800000,0.662565,-0.087174,0.483587,0.662564,-0.087183,0.483591,-0.088936,0.357023,-0.051505,-1.450507,0.018507,1.807057,0.643868,0.035000,0.035000,0.00000925
55,1.833333,0.664257,-0.078717,0.479359,0.664255,-0.078725,0.479363,-0.079521,0.359729,-0.047208,-1.457194,0.017127,1.816521,0.657520,0.035000,0.035000,0.00000924
56,1.866667,0.665920,-0.070400,0.475200,0.665919,-0.070408,0.475204,-0.070284,0.362918,-0.043013,-1.462993,0.015775,1.825574,0.670924,0.035000,0.035000,0.00000901
57,1.900000,0.667544,-0.062279,0.471139,0.667543,-0.062287,0.471144,-0.061282,0.366528,-0.038951,-1.467921,0.014454,1.834169,0.683986,0.035000,0.035000,0.00000987
58,1.933333,0.669118,-0.054409,0.467205,0.669117,-0.054418,0.467209,-0.052571,0.370488,-0.035051,-1.472011,0.013171,1.842270,0.696621,0.035000,0.035000,0.00000954
59,1.966667,0.670630,-0.046848,0.463424,0.670629,-0.046856,0.463428,-0.044207,0.374717,-0.031342,-1.475309,0.011931,1.849840,0.708736,0.035000,0.035000,0.00000911
60,2.000000,0.672070,-0.039650,0.459825,0.672068,-0.039659,0.459830,-0.036252,0.379122,-0.027850,-1.477877,0.010743,1.856850,0.720242,0.035000,0.035000,0.00000978
61,2.033333,0.673426,-0.032872,0.456436,0.673424,-0.032880,0.456440,-0.028761,0.383607,-0.024598,-1.479788,0.009614,1.863277,0.731055,0.035000,0.035000,0.00000914
62,2.066667,0.674686,-0.026570,0.453285,0.674684,-0.026579,0.453289,-0.021796,0.388066,-0.021609,-1.481124,0.008554,1.869098,0.741086,0.035000,0.035000,0.00000944
63,2.100000,0.675840,-0.020800,0.450400,0.675839,-0.020808,0.450404,-0.015417,0.392392,-0.018903,-1.481977,0.007574,1.874298,0.750251,0.035000,0.035000,0.00000958
64,2.133333,0.676877,-0.015617,0.447809,0.676875,-0.015626,0.447813,-0.009686,0.396475,-0.016499,-1.482440,0.006686,1.878860,0.758466,0.035000,0.035000,0.00000960
65,2.166667,0.677784,-0.011079,0.445539,0.677783,-0.011087,0.445544,-0.004663,0.400202,-0.014415,-1.482611,0.005901,1.882771,0.765647,0.035000,0.035000,0.00000930
66,2.200000,0.678552,-0.007240,0.443620,0.678550,-0.007248,0.443624,-0.000414,0.403464,-0.012669,-1.482585,0.005232,1.886016,0.771710,0.035000,0.035000,0.00000958
67,2.233333,0.679169,-0.004156,0.442078,0.679167,-0.004165,0.442082,0.003001,0.406157,-0.011278,-1.482451,0.004690,1.888581,0.776573,0.035000,0.035000,0.00000964
68,2.266667,0.679623,-0.001885,0.440942,0.679622,-0.001893,0.440947,0.005517,0.408183,-0.010259,-1.482286,0.004290,1.890447,0.780151,0.035000,0.035000,0.00000976
69,2.300000,0.679904,-0.000480,0.440240,0.679902,-0.000488,0.440244,0.007074,0.409453,-0.009632,-1.482158,0.004041,1.891591,0.782362,0.035000,0.035000,0.00000898
70,2.333333,0.680000,0.000000,0.440000,0.679999,-0.000008,0.440004,0.007607,0.409890,-0.009418,-1.482109,0.003955,1.891980,0.783118,0.035000,0.035000,0.00000903
71,2.366667,0.679760,0.000577,0.440432,0.679763,0.000570,0.440427,0.008255,0.408879,-0.009165,-1.482556,0.003840,1.891418,0.784033,0.035000,0.035000,0.00000918
72,2.400000,0.679058,0.002261,0.441696,0.679061,0.002254,0.441691,0.010145,0.405885,-0.008423,-1.483852,0.003502,1.889722,0.786706,0.035000,0.035000,0.00000933
73,2.433333,0.677922,0.004988,0.443741,0.677925,0.004980,0.443735,0.013199,0.401093,-0.007210,-1.485859,0.002962,1.886941,0.791039,0.035000,0.035000,0.00000973
74,2.466667,0.676380,0.008688,0.446516,0.676383,0.008680,0.446510,0.017340,0.394691,-0.005537,-1.488405,0.002238,1.883090,0.796939,0.035000,0.035000,0.00000982
75,2.500000,0.674461,0.013294,0.449971,0.674464,0.013287,0.449965,0.022485,0.386889,-0.003414,-1.491289,0.001351,1.878175,0.804312,0.035000,0.035000,0.00000990
76,2.533333,0.672191,0.018741,0.454056,0.672194,0.018734,0.454050,0.028555,0.377905,-0.000846,-1.494292,0.000327,1.872196,0.813071,0.035000,0.035000,0.00000944
77,2.566667,0.669600,0.024960,0.458720,0.669603,0.024953,0.458714,0.035470,0.367968,0.002162,-1.497185,-0.000813,1.865152,0.823121,0.035000,0.035000,0.00000980
78,2.600000,0.666715,0.031884,0.463913,0.666718,0.031877,0.463908,0.043149,0.357307,0.005602,-1.499740,-0.002042,1.857041,0.834373,0.035000,0.035000,0.00000968
79,2.633333,0.663564,0.039447,0.469585,0.663567,0.039440,0.469580,0.051516,0.346155,0.009467,-1.501730,-0.003339,1.847870,0.846733,0.035000,0.035000,0.00000932
80,2.666667,0.660175,0.047580,0.475685,0.660178,0.047573,0.475680,0.060494,0.334737,0.013744,-1.502945,-0.004681,1.837650,0.860108,0.035000,0.035000,0.00000915
81,2.700000,0.656576,0.056217,0.482163,0.656579,0.056210,0.482157,0.070008,0.323274,0.018417,-1.503187,-0.006047,1.826405,0.874399,0.035000,0.035000,0.00000973
82,2.733333,0.652795,0.065291,0.488968,0.652798,0.065284,0.488963,0.079988,0.311974,0.023466,-1.502280,-0.007421,1.814167,0.889509,0.035000,0.035000,0.00000924
83,2.766667,0.648861,0.074734,0.496051,0.648864,0.074727,0.496045,0.090363,0.301037,0.028863,-1.500072,-0.008789,1.800982,0.905332,0.035000,0.035000,0.00000969
84,2.800000,0.644800,0.084480,0.503360,0.644803,0.084473,0.503354,0.101067,0.290642,0.034576,-1.496439,-0.010143,1.786906,0.921767,0.035000,0.035000,0.00000988
85,2.833333,0.640641,0.094461,0.510845,0.640645,0.094454,0.510840,0.112037,0.280955,0.040568,-1.491283,-0.011477,1.772005,0.938708,0.035000,0.035000,0.00000922
86,2.866667,0.636413,0.104609,0.518457,0.636416,0.104602,0.518452,0.123208,0.272119,0.046795,-1.484539,-0.012793,1.756360,0.956043,0.035000,0.035000,0.00000926
87,2.900000,0.632142,0.114859,0.526144,0.632145,0.114852,0.526139,0.134523,0.264257,0.053211,-1.476176,-0.014094,1.740059,0.973662,0.035000,0.035000,0.00000936
88,2.933333,0.627858,0.125141,0.533856,0.627861,0.125134,0.533851,0.145920,0.257468,0.059763,-1.466192,-0.015387,1.723202,0.991452,0.035000,0.035000,0.00000940
89,2.966667,0.623587,0.135391,0.541543,0.623590,0.135384,0.541538,0.157344,0.251824,0.066396,-1.454623,-0.016685,1.705897,1.009298,0.035000,0.035000,0.00000929
90,3.000000,0.619359,0.145539,0.549155,0.619362,0.145532,0.549149,0.168734,0.247373,0.073054,-1.441540,-0.017997,1.688261,1.027080,0.035000,0.035000,0.00000929
91,3.033333,0.615200,0.155520,0.556640,0.615203,0.155513,0.556635,0.180032,0.244132,0.079677,-1.427052,-0.019336,1.670421,1.044678,0.035000,0.035000,0.00000911
92,3.066667,0.611139,0.165266,0.563949,0.611143,0.165258,0.563944,0.191176,0.242090,0.086204,-1.411304,-0.020711,1.652513,1.061967,0.035000,0.035000,0.00000982
93,3.100000,0.607205,0.174709,0.571032,0.607208,0.174702,0.571026,0.202102,0.241209,0.092575,-1.394479,-0.022129,1.634679,1.078823,0.035000,0.035000,0.00000964
94,3.133333,0.603424,0.183783,0.577837,0.603427,0.183776,0.577832,0.212739,0.241416,0.098731,-1.376804,-0.023593,1.617076,1.095115,0.035000,0.035000,0.00000934
95,3.166667,0.599825,0.192420,0.584315,0.599828,0.192412,0.584309,0.223013,0.242613,0.104610,-1.358545,-0.025099,1.599873,1.110710,0.035000,0.035000,0.00000972
96,3.200000,0.596436,0.200553,0.590415,0.596439,0.200546,0.590410,0.232843,0.244667,0.110158,-1.340008,-0.026635,1.583246,1.125475,0.035000,0.035000,0.00000919
97,3.233333,0.593285,0.208116,0.596087,0.593288,0.208109,0.596081,0.242134,0.247420,0.115317,-1.321547,-0.028183,1.567390,1.139271,0.035000,0.035000,0.00000939
98,3.266667,0.590400,0.215040,0.601280,0.590403,0.215033,0.601274,0.250789,0.250685,0.120036,-1.303550,-0.029715,1.552513,1.151962,0.035000,0.035000,0.00000977
99,3.300000,0.587809,0.221259,0.605944,0.587812,0.221252,0.605939,0.258696,0.254252,0.124265,-1.286448,-0.031196,1.538837,1.163406,0.035000,0.035000,0.00000966
100,3.333333,0.585539,0.226706,0.610029,0.585543,0.226699,0.610024,0.265738,0.257890,0.127957,-1.270700,-0.032583,1.526597,1.173465,0.035000,0.035000,0.00000922
101,3.366667,0.583620,0.231312,0.613484,0.583623,0.231305,0.613479,0.271786,0.261359,0.131069,-1.256793,-0.033828,1.516041,1.181998,0.035000,0.035000,0.00000980
102,3.400000,0.582078,0.235012,0.616259,0.582081,0.235005,0.616254,0.276711,0.264414,0.133559,-1.245214,-0.034878,1.507419,1.188868,0.035000,0.035000,0.00000970
103,3.433333,0.580942,0.237739,0.618304,0.580946,0.237731,0.618299,0.280380,0.266824,0.135387,-1.236441,-0.035683,1.500980,1.193939,0.035000,0.035000,0.00000976
104,3.466667,0.580240,0.239423,0.619568,0.580243,0.239416,0.619562,0.282666,0.268383,0.136515,-1.230911,-0.036194,1.496962,1.197078,0.035000,0.035000,0.00000916
105,3.500000,0.580000,0.240000,0.620000,0.580003,0.239993,0.619995,0.283451,0.268928,0.136900,-1.229000,-0.036371,1.495580,1.198153,0.035000,0.035000,0.00000920
106,3.533333,0.579616,0.239856,0.619712,0.579623,0.239859,0.619717,0.283234,0.266860,0.136892,-1.232685,-0.036092,1.497212,1.198081,0.035000,0.035000,0.00000936
107,3.566667,0.578492,0.239435,0.618869,0.578500,0.239437,0.618875,0.282571,0.260739,0.136851,-1.243617,-0.035260,1.502069,1.197827,0.035000,0.035000,0.00000955
108,3.600000,0.576675,0.238753,0.617506,0.576683,0.238756,0.617512,0.281538,0.250996,0.136776,-1.261003,-0.033935,1.509786,1.197407,0.035000,0.035000,0.00001007
109,3.633333,0.574208,0.237828,0.615656,0.574216,0.237831,0.615662,0.280209,0.238065,0.136659,-1.284046,-0.032174,1.520000,1.196823,0.035000,0.035000,0.00001020
110,3.666667,0.571137,0.236676,0.613353,0.571145,0.236679,0.613359,0.278664,0.222406,0.136490,-1.311907,-0.030040,1.532328,1.196075,0.035000,0.035000,0.00001007
111,3.700000,0.567506,0.235315,0.610630,0.567513,0.235317,0.610635,0.276981,0.204457,0.136263,-1.343775,-0.027592,1.546398,1.195165,0.035000,0.035000,0.00000965
112,3.733333,0.563360,0.233760,0.607520,0.563368,0.233763,0.607526,0.275234,0.184637,0.135972,-1.378886,-0.024890,1.561859,1.194097,0.035000,0.035000,0.00001003
113,3.766667,0.558744,0.232029,0.604058,0.558751,0.232032,0.604064,0.273484,0.163314,0.135613,-1.416559,-0.021984,1.578398,1.192880,0.035000,0.035000,0.00000994
114,3.800000,0.553702,0.230138,0.600277,0.553710,0.230141,0.600282,0.271787,0.140818,0.135188,-1.456191,-0.018923,1.595736,1.191522,0.035000,0.035000,0.00000984
115,3.833333,0.548280,0.228105,0.596210,0.548287,0.228108,0.596215,0.270184,0.117437,0.134697,-1.497254,-0.015750,1.613631,1.190038,0.035000,0.035000,0.00000946
116,3.866667,0.542522,0.225946,0.591891,0.542530,0.225948,0.591897,0.268711,0.093422,0.134147,-1.539287,-0.012500,1.631870,1.188441,0.035000,0.035000,0.00001002
117,3.900000,0.536473,0.223677,0.587354,0.536480,0.223680,0.587360,0.267390,0.068983,0.133543,-1.581911,-0.009207,1.650278,1.186749,0.035000,0.035000,0.00000959
118,3.933333,0.530177,0.221316,0.582633,0.530185,0.221319,0.582639,0.266240,0.044312,0.132892,-1.624774,-0.005898,1.668694,1.184978,0.035000,0.035000,0.00001001
119,3.966667,0.523680,0.218880,0.577760,0.523688,0.218883,0.577766,0.265270,0.019570,0.132203,-1.667588,-0.002597,1.686987,1.183148,0.035000,0.035000,0.00001033
120,4.000000,0.517026,0.216385,0.572770,0.517033,0.216387,0.572775,0.264485,-0.005101,0.131485,-1.710099,0.000675,1.705042,1.181275,0.035000,0.035000,0.00000952
121,4.033333,0.510261,0.213848,0.567695,0.510268,0.213850,0.567701,0.263883,-0.029566,0.130745,-1.752070,0.003899,1.722755,1.179380,0.035000,0.035000,0.00000953
122,4.066667,0.503428,0.211285,0.562571,0.503435,0.211288,0.562576,0.263460,-0.053710,0.129994,-1.793300,0.007060,1.740038,1.177478,0.035000,0.035000,0.00000959
123,4.100000,0.496572,0.208715,0.557429,0.496580,0.208717,0.557435,0.263208,-0.077427,0.129239,-1.833606,0.010144,1.756813,1.175586,0.035000,0.035000,0.00000963
124,4.133333,0.489739,0.206152,0.552305,0.489747,0.206155,0.552310,0.263115,-0.100614,0.128489,-1.872817,0.013139,1.773011,1.173720,0.035000,0.035000,0.00000961
125,4.166667,0.482974,0.203615,0.547230,0.482981,0.203618,0.547236,0.263169,-0.123174,0.127751,-1.910775,0.016032,1.788568,1.171896,0.035000,0.035000,0.00000942
126,4.200000,0.476320,0.201120,0.542240,0.476327,0.201123,0.542245,0.263354,-0.145013,0.127032,-1.947329,0.018815,1.803428,1.170126,0.035000,0.035000,0.00000941
127,4.233333,0.469823,0.198684,0.537367,0.469831,0.198687,0.537373,0.263654,-0.166037,0.126338,-1.982331,0.021477,1.817539,1.168424,0.035000,0.035000,0.00001020
128,4.266667,0.463527,0.196323,0.532646,0.463535,0.196326,0.532651,0.264050,-0.186159,0.125675,-2.015652,0.024009,1.830856,1.166800,0.035000,0.035000,0.00000996
129,4.300000,0.457478,0.194054,0.528109,0.457486,0.194057,0.528114,0.264525,-0.205281,0.125048,-2.047148,0.026401,1.843335,1.165264,0.035000,0.035000,0.00000938
130,4.333333,0.451720,0.191895,0.523790,0.451728,0.191898,0.523796,0.265059,-0.223308,0.124462,-2.076681,0.028644,1.854934,1.163827,0.035000,0.035000,0.00000994
131,4.366667,0.446298,0.189862,0.519723,0.446305,0.189864,0.519729,0.265631,-0.240147,0.123919,-2.104122,0.030729,1.865617,1.162496,0.035000,0.035000,0.00000945
132,4.400000,0.441256,0.187971,0.515942,0.441264,0.187974,0.515948,0.266222,-0.255691,0.123424,-2.129326,0.032644,1.875345,1.161279,0.035000,0.035000,0.00000986
133,4.433333,0.436640,0.186240,0.512480,0.436648,0.186243,0.512486,0.266812,-0.269841,0.122979,-2.152156,0.034381,1.884083,1.160182,0.035000,0.035000,0.00000983
134,4.466667,0.432494,0.184685,0.509370,0.432502,0.184688,0.509376,0.267380,-0.282487,0.122587,-2.172468,0.035927,1.891798,1.159212,0.035000,0.035000,0.00000993
135,4.500000,0.428863,0.183324,0.506647,0.428870,0.183326,0.506653,0.267907,-0.293520,0.122248,-2.190115,0.037272,1.898451,1.158373,0.035000,0.035000,0.00000961
136,4.533333,0.425792,0.182172,0.504344,0.425799,0.182175,0.504349,0.268373,-0.302821,0.121966,-2.204936,0.038403,1.904003,1.157673,0.035000,0.035000,0.00000997
137,4.566667,0.423325,0.181247,0.502494,0.423333,0.181250,0.502500,0.268762,-0.310274,0.121743,-2.216777,0.039307,1.908415,1.157117,0.035000,0.035000,0.00001006
138,4.600000,0.421508,0.180565,0.501131,0.421515,0.180568,0.501137,0.269056,-0.315755,0.121580,-2.225463,0.039971,1.911637,1.156710,0.035000,0.035000,0.00001009
139,4.633333,0.420384,0.180144,0.500288,0.420392,0.180147,0.500294,0.269241,-0.319141,0.121480,-2.230819,0.040381,1.913617,1.156460,0.035000,0.035000,0.00000966
140,4.666667,0.420000,0.180000,0.500000,0.420007,0.180003,0.500005,0.269305,-0.320298,0.121446,-2.232649,0.040521,1.914293,1.156375,0.035000,0.035000,0.00000963
141,4.700000,0.420192,0.179568,0.500529,0.420190,0.179573,0.500522,0.268926,-0.320490,0.120819,-2.231529,0.040317,1.912963,1.155512,0.035000,0.035000,0.00000938
142,4.733333,0.420754,0.178304,0.502073,0.420751,0.178310,0.502066,0.267802,-0.320974,0.118966,-2.228094,0.039703,1.908991,1.152964,0.035000,0.035000,0.00000965
143,4.766667,0.421663,0.176259,0.504572,0.421660,0.176265,0.504565,0.265987,-0.321689,0.115975,-2.222472,0.038705,1.902569,1.148847,0.035000,0.035000,0.00000908
144,4.800000,0.422896,0.173484,0.507964,0.422893,0.173490,0.507957,0.263531,-0.322527,0.111932,-2.214722,0.037345,1.893868,1.143273,0.035000,0.035000,0.00000920
145,4.833333,0.424431,0.170029,0.512187,0.424429,0.170035,0.512180,0.260488,-0.323358,0.106925,-2.204879,0.035642,1.883056,1.136355,0.035000,0.035000,0.00000924
146,4.866667,0.426247,0.165944,0.517179,0.426244,0.165950,0.517172,0.256911,-0.324040,0.101043,-2.192963,0.033620,1.870304,1.128203,0.035000,0.035000,0.00000982
147,4.900000,0.428320,0.161280,0.522880,0.428318,0.161286,0.522873,0.252855,-0.324422,0.094374,-2.178985,0.031306,1.855776,1.118927,0.035000,0.035000,0.00000902
148,4.933333,0.430628,0.156087,0.529227,0.430626,0.156093,0.529221,0.248377,-0.324352,0.087011,-2.162960,0.028731,1.839645,1.108637,0.035000,0.035000,0.00000908
