index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
70,2.333333,0.661163,-0.117564,0.485768,0.661172,-0.117567,0.485771,-0.178666,0.368601,0.003345,-1.427265,-0.001236,1.795863,0.610128,0.035000,0.035000,0.00000978
71,2.366667,0.656751,-0.115587,0.484248,0.656759,-0.115591,0.484251,-0.177426,0.351364,0.003930,-1.456649,-0.001392,1.808010,0.611988,0.035000,0.035000,0.00000930
72,2.400000,0.652219,-0.113041,0.482797,0.652227,-0.113045,0.482799,-0.175608,0.333753,0.004815,-1.486206,-0.001628,1.819955,0.614741,0.035000,0.035000,0.00000987
73,2.433333,0.647574,-0.109937,0.481416,0.647581,-0.109942,0.481418,-0.173230,0.315800,0.006017,-1.515871,-0.001934,1.831665,0.618387,0.035000,0.035000,0.00000960
74,2.466667,0.642820,-0.106292,0.480108,0.642828,-0.106298,0.480110,-0.170318,0.297553,0.007552,-1.545557,-0.002299,1.843101,0.622919,0.035000,0.035000,0.00001005
75,2.500000,0.637965,-0.102124,0.478873,0.637972,-0.102130,0.478875,-0.166895,0.279048,0.009436,-1.575195,-0.002707,1.854230,0.628331,0.035000,0.035000,0.00000959
76,2.533333,0.633014,-0.097452,0.477713,0.633020,-0.097458,0.477715,-0.162991,0.260333,0.011683,-1.604701,-0.003142,1.865016,0.634608,0.035000,0.035000,0.00000920
77,2.566667,0.627972,-0.092300,0.476631,0.627979,-0.092307,0.476632,-0.158633,0.241458,0.014304,-1.633993,-0.003585,1.875425,0.641729,0.035000,0.035000,0.00000984
78,2.600000,0.622847,-0.086694,0.475626,0.622853,-0.086700,0.475627,-0.153853,0.222463,0.017311,-1.663000,-0.004016,1.885429,0.649673,0.035000,0.035000,0.00000912
79,2.633333,0.617645,-0.080660,0.474701,0.617651,-0.080667,0.474702,-0.148681,0.203402,0.020711,-1.691641,-0.004413,1.894997,0.658407,0.035000,0.035000,0.00000973
80,2.666667,0.612371,-0.074229,0.473856,0.612377,-0.074237,0.473857,-0.143151,0.184318,0.024510,-1.719843,-0.004753,1.904104,0.667898,0.035000,0.035000,0.00000993
81,2.700000,0.607033,-0.067433,0.473093,0.607039,-0.067440,0.473094,-0.137293,0.165258,0.028710,-1.747541,-0.005012,1.912728,0.678105,0.035000,0.035000,0.00000940
82,2.733333,0.601637,-0.060304,0.472412,0.601643,-0.060311,0.472413,-0.131143,0.146272,0.033308,-1.774660,-0.005167,1.920847,0.688980,0.035000,0.035000,0.00000976
83,2.766667,0.596190,-0.052878,0.471814,0.596196,-0.052886,0.471815,-0.124731,0.127402,0.038299,-1.801140,-0.005194,1.928446,0.700473,0.035000,0.035000,0.00000985
