index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
45,1.500000,0.538771,0.219992,0.540191,0.538781,0.219992,0.540193,0.259989,0.060241,0.131930,-1.713308,-0.008085,1.773021,1.178705,0.035000,0.035000,0.00000931
46,1.533333,0.533859,0.219788,0.539123,0.533868,0.219789,0.539125,0.260831,0.045224,0.132903,-1.734683,-0.006124,1.779505,1.180267,0.035000,0.035000,0.00000925
47,1.566667,0.528954,0.219314,0.538006,0.528963,0.219315,0.538008,0.261480,0.030026,0.133665,-1.756217,-0.004095,1.785973,1.181358,0.035000,0.035000,0.00000919
48,1.600000,0.524063,0.218570,0.536842,0.524072,0.218571,0.536845,0.261941,0.014659,0.134207,-1.777884,-0.002011,1.792411,1.181974,0.035000,0.035000,0.00000931
49,1.633333,0.519192,0.217556,0.535633,0.519201,0.217558,0.535636,0.262222,-0.000862,0.134518,-1.799662,0.000119,1.798807,1.182111,0.035000,0.035000,0.00000932
50,1.666667,0.514346,0.216275,0.534381,0.514355,0.216277,0.534383,0.262328,-0.016526,0.134586,-1.821525,0.002280,1.805148,1.181765,0.035000,0.035000,0.00000957
51,1.700000,0.509532,0.214727,0.533085,0.509541,0.214730,0.533088,0.262265,-0.032316,0.134402,-1.843450,0.004458,1.811422,1.180933,0.035000,0.035000,0.00000957
52,1.733333,0.504755,0.212914,0.531749,0.504764,0.212918,0.531752,0.262038,-0.048219,0.133954,-1.865411,0.006639,1.817617,1.179615,0.035000,0.035000,0.00000971
53,1.766667,0.500022,0.210840,0.530374,0.500031,0.210843,0.530377,0.261652,-0.064219,0.133234,-1.887384,0.008805,1.823723,1.177809,0.035000,0.035000,0.00000982
54,1.800000,0.495338,0.208505,0.528962,0.495347,0.208509,0.528964,0.261109,-0.080298,0.132232,-1.909343,0.010941,1.829728,1.175517,0.035000,0.035000,0.00000995
55,1.833333,0.490709,0.205913,0.527513,0.490717,0.205918,0.527516,0.260414,-0.096439,0.130938,-1.931263,0.013027,1.835622,1.172739,0.035000,0.035000,0.00000998
56,1.866667,0.486141,0.203068,0.526031,0.486148,0.203073,0.526034,0.259569,-0.112627,0.129344,-1.953121,0.015044,1.841398,1.169479,0.035000,0.035000,0.00000929
57,1.900000,0.481639,0.199973,0.524517,0.481646,0.199978,0.524520,0.258574,-0.128835,0.127442,-1.974885,0.016974,1.847046,1.165739,0.035000,0.035000,0.00000933
58,1.933333,0.477209,0.196631,0.522973,0.477216,0.196637,0.522975,0.257429,-0.145047,0.125225,-1.996531,0.018795,1.852557,1.161525,0.035000,0.035000,0.00000949
59,1.966667,0.472856,0.193047,0.521400,0.472863,0.193053,0.521403,0.256134,-0.161240,0.122686,-2.018033,0.020487,1.857928,1.156840,0.035000,0.035000,0.00000970
60,2.000000,0.468586,0.189226,0.519801,0.468593,0.189232,0.519804,0.254687,-0.177392,0.119819,-2.039363,0.022029,1.863150,1.151691,0.035000,0.035000,0.00000984
61,2.033333,0.464404,0.185171,0.518178,0.464411,0.185177,0.518180,0.253084,-0.193479,0.116618,-2.060495,0.023401,1.868221,1.146085,0.035000,0.035000,0.00001002
62,2.066667,0.460315,0.180888,0.516532,0.460322,0.180894,0.516534,0.251322,-0.209475,0.113079,-2.081399,0.024582,1.873137,1.140027,0.035000,0.035000,0.00000999
63,2.100000,0.456325,0.176382,0.514865,0.456331,0.176388,0.514868,0.249394,-0.225358,0.109198,-2.102050,0.025551,1.877896,1.133525,0.035000,0.035000,0.00000919
64,2.133333,0.452437,0.171658,0.513181,0.452443,0.171665,0.513184,0.247295,-0.241094,0.104973,-2.122415,0.026287,1.882497,1.126588,0.035000,0.035000,0.00000946
65,2.166667,0.448658,0.166724,0.511480,0.448663,0.166731,0.511483,0.245018,-0.256657,0.100401,-2.142466,0.026774,1.886939,1.119224,0.035000,0.035000,0.00000953
66,2.200000,0.444990,0.161584,0.509765,0.444996,0.161591,0.509768,0.242556,-0.272018,0.095480,-2.162174,0.026991,1.891226,1.111440,0.035000,0.035000,0.00000980
67,2.233333,0.441440,0.156245,0.508038,0.441446,0.156252,0.508041,0.239900,-0.287146,0.090211,-2.181510,0.026923,1.895359,1.103247,0.035000,0.035000,0.00000974
68,2.266667,0.438012,0.150713,0.506301,0.438017,0.150721,0.506304,0.237043,-0.302007,0.084592,-2.200443,0.026554,1.899344,1.094652,0.035000,0.035000,0.00000999
69,2.300000,0.434709,0.144996,0.504557,0.434714,0.145004,0.504559,0.233975,-0.316568,0.078627,-2.218942,0.025871,1.903186,1.085664,0.035000,0.035000,0.00001016
70,2.333333,0.431535,0.139100,0.502807,0.431540,0.139107,0.502809,0.230689,-0.330796,0.072314,-2.236981,0.024860,1.906892,1.076293,0.035000,0.035000,0.00000921
71,2.366667,0.428496,0.133032,0.501053,0.428500,0.133040,0.501055,0.227177,-0.344650,0.065660,-2.254521,0.023514,1.910469,1.066549,0.035000,0.035000,0.00000938
72,2.400000,0.425593,0.126801,0.499298,0.425597,0.126809,0.499301,0.223433,-0.358096,0.058667,-2.271536,0.021824,1.913929,1.056440,0.035000,0.035000,0.00000954
73,2.433333,0.422832,0.120414,0.497544,0.422836,0.120422,0.497546,0.219450,-0.371095,0.051339,-2.287994,0.019786,1.917281,1.045978,0.035000,0.035000,0.00000947
74,2.466667,0.420215,0.113878,0.495793,0.420219,0.113886,0.495795,0.215224,-0.383608,0.043682,-2.303864,0.017398,1.920538,1.035171,0.035000,0.035000,0.00000959
75,2.500000,0.417746,0.107202,0.494047,0.417749,0.107211,0.494049,0.210752,-0.395594,0.035704,-2.319115,0.014660,1.923713,1.024032,0.035000,0.035000,0.00000968
76,2.533333,0.415427,0.100394,0.492308,0.415430,0.100403,0.492311,0.206033,-0.407013,0.027411,-2.333717,0.011576,1.926819,1.012569,0.035000,0.035000,0.00000973
77,2.566667,0.413262,0.093462,0.490579,0.413264,0.093471,0.490581,0.201069,-0.417825,0.018812,-2.347640,0.008153,1.929870,1.000796,0.035000,0.035000,0.00000989
78,2.600000,0.411252,0.086415,0.488862,0.411255,0.086424,0.488864,0.195862,-0.427987,0.009918,-2.360855,0.004402,1.932883,0.988724,0.035000,0.035000,0.00000996
79,2.633333,0.409402,0.079261,0.487158,0.409404,0.079271,0.487160,0.190419,-0.437461,0.000738,-2.373332,0.000335,1.935872,0.976366,0.035000,0.035000,0.00001012
80,2.666667,0.407712,0.072010,0.485470,0.407714,0.072019,0.485472,0.184748,-0.446206,-0.008716,-2.385046,-0.004031,1.938852,0.963734,0.035000,0.035000,0.00000906
81,2.700000,0.406185,0.064670,0.483800,0.406187,0.064679,0.483802,0.178863,-0.454182,-0.018428,-2.395968,-0.008675,1.941840,0.950847,0.035000,0.035000,0.00000921
82,2.733333,0.404824,0.057251,0.482150,0.404825,0.057260,0.482152,0.172779,-0.461354,-0.028385,-2.406073,-0.013573,1.944849,0.937718,0.035000,0.035000,0.00000932
83,2.766667,0.403628,0.049761,0.480522,0.403630,0.049770,0.480524,0.166512,-0.467685,-0.038572,-2.415338,-0.018700,1.947893,0.924363,0.035000,0.035000,0.00000920
